APARECIDA;CAMPUS APARECIDA
ALGEBRA LINEAR;ENGENHARIA DE TRASPORTES;24M23
ALGEBRA LINEAR;ENGENHARIA DE PRODUCAO;24M45
ALGEBRA LINEAR;ENG DE MATERIAIS;24T23
CALCULO NUMERICO;ENGENHARIA DE TRANSPORTE;24M45
CALCULO NUMERICO;ENGENHARIA DE PRODUCAO;24T23
PROBABILIDADE E ESTATISTICA A;ENGENHARIA DE MATERIAIS;56T23
GEOMETRIA ANALITICA;ENGENHARIA DE MATERIAIS 24T23
INFERENCIA;ENGENHARIA DE PRODUCAO;24T45
CALCULO 1A;ENGENHARIA DE MATERIAIS;246T23
CALCULO 1A;ENGENHARIA DE MATERIAIS;246T45
PROBABILIDADE E ESTATISTICA A;ENGENHARIA DE MATERIAIS;* 56T23 *
*PE: 5 SAMAMBAIA E 6 EM APARECIDA CALCULO 2A;ENGENHARIA DE MATERIAIS;246T23
CALCULO 2A;ENGENHARIA DE MATERIAIS;246T45
CAMPUS COLEMARAPARECIDA;CAMPUS COLEMAR (PRACA UNIVERSITARIA)
CALCULO 1 A;ENGENHARIA ELETRICA;246M12
CALCULO 1A;ENGENHARIA DE COMPUTACAO;246M34
EDO;ENGENHARIA CIVIL;24M12
EDO;ENGENHARIA ELETRICA;24M34
EDO;ENGENHARIA DE COMPUTACAO;24M56
CALCULO 3 A;ENGENHARIA ELETRICA;24M12
CALCULO 3A;ENGENHARIA DE COMPUTACAO;24M34
CALCULO NUMERICO;ENGENHARIA DA COMPUTACAO;35M12
CALCULO NUMERICO;ENGENHARIA ELETRICA;35M34
GEOMETRIA ANALITICA;ENGENHARIA ELETRICA;35M12
MATEMATICA DISCRETA;ENGENHARIA DA COMPUTACAO;24M12
PROBABILIDADE E ESTATISTICA A;ENGENHARIA CIVIL;24M34
CALCULO 2A;ENGENHARIA CIVIL;246M12
ALGEBRA LINEAR;ENGENHARIA CIVIL;24M56
CALCULO 2A;ENGENHARIA ELETRICA;246T12
CALCULO 2A;ENGENHARIA AMBIENTAL;246T34
CALCULO 1A;ENGENHARIA CIVIL;246T12
ALGEBRA LINEAR;ENGENHARIA AMBIENTAL;24T12
CALCULO 3A;ENGENHARIA CIVIL;24T12
PROBABILIDADE E ESTATISTICA A;ENGENHARIA ELETRICA;46T34
GEOMETRIA ANALITICA;ENGENHARIA CIVIL;46T56
BIOESTATISTICA;FARMACIA;46T23
BIOESTATISTICA;NUTRICAO;46T45
BIOESTATISTICA 2;MEDICINA;4T12
BIOESTATISTICA 2;MEDICINA;6T12
ALGEBRA LINEAR;ENGENHARIA ELETRICA;35T12
CALCULO NUMERICO;ENGENHARIA CIVIL;35T34
BIOESTATISTICA;FISIOTERAPIA;35T45
CALCULO 2A;ENGENHARIA DE COMPUTACAO;*24 PRACA 6 SAMAMBAIA 246N23
ESTATISTICA 2;PSICOLOGIA;24N23
PROBABILIDADE E ESTATISTICA A;ENGENHARIA DE COMPUTACAO;24N45
ALGEBRA LINEAR;ENGENHARIA DE COMPUTACAO;35N45
CAMPUS SAMAMBAIAAPARECIDA;CAMPUS SAMAMBAIA
CALCULO 1A;INSTITUTO DE QUIMICA;246M23
CALCULO 1A;INTELIGENCIA ARTIFICIAL;246M45
CALCULO 2A;INSTITUTO DE QUIMICA;246M23
CALCULO 2A;CIENCIA DA COMPUTACAO;246M45
CALCULO 2A;ENG. DE ALIMENTOS;246M23
CALCULO 1A;CIENCIA DA COMPUTACAO;246M45
ESTATISTICA 1;GESTAO DA INFORMACAO;246M23
PROBABILIDADE E ESTATISTICA B;CIENCIAS ECONOMICAS;46M45
CALCULO 1B;INSTITUTO DE QUIMICA;24M23
CALCULO 1A;INSTITUTO DE FISICA;246M45
CALCULO 2B;INSTITUTO DE QUIMICA;24M23
ALGEBRA LINEAR;CIENCIA DA COMPUTACAO;24M45
EDO;INSTITUTO DE QUIMICA;24M23
EDO;CIENCIA DA COMPUTACAO;24M45
PROBABILIDADE E ESTATISTICA A;CIENCIA DA COMPUTACAO;24M23
CALCULO NUMERICO;CIENCIA DA COMPUTACAO;24M45
ALGEBRA LINEAR;ENG DE ALIMENTOS;35M23
CALCULO 1C;CIENCIAS CONTABEIS;35M45
ESTATISTICA;INSTITUTO DE QUIMICA;35M23
INTRODUCAO A PROBABILIDADE;GESTAO DE INFORMACAO 35M23
CALCULO 2B;CIENCIAS ECONOMICAS;46M23
CALCULO 1C;FARMACIA;46M45
GEOMETRIA ANALITICA;CIENCIA DA COMPUTACAO;46M23
ALGEBRA LINEAR;INSTITUTO DE QUIMICA;46M45
NOCOES DE ATUARIA;CIENCIAS CONTABEIS;6M23
CALCULO 2A;INSTITUTO DE FISICA;246T12
CALCULO 2A;INSTITUTO DE FISICA;246T34
CALCULO 2A;ENGENHARIA MECANICA;246T12
ALGEBRA LINEAR;ENGENHARIA MECANICA;24T34
PROBABILIDADE;MATEMATICA;246T12
CALCULO 2B;AGRONOMIA;46T23
CALCULO 2B;AGRONOMIA;46T45
CALCULO 1B;AGRONOMIA;25T23
CALCULO 1B;AGRONOMIA;25T45
ALGEBRA LINEAR;INSTITUTO DE FISICA;24T12
ALGEBRA LINEAR;INSTITUTO DE FISICA;24T34
CALCULO 2B;ENGENHARIA FLORESTAL;24T23
ALGEBRA LINEAR;INTELIGENCIA ARTIFICIAL;24T23
ESTATISTICA 1;GESTAO DA INFORMACAO;35T23
CALCULO 3A;INSTITUTO DE QUIMICA;35T45
CALCULO NUMERICO;ENGENHARIA DE ALIMENTOS;36T23
ESTATISTICA;MATEMATICA 35T34
CALCULO NUMERICO;ENGENHARIA DA MECANICA;35T12
GEOMETRIA ANALITICA;ESTATISTICA;35T34
PROBABILIDADE E ESTATISTICA A;ENGENHARIA MECANICA;35T12
CALCULO 1A;INSTITUTO DE FISICA;246N23
ALGEBRA LINEAR;SISTEMAS DE INFORMACAO;24N23
ALGEBRA LINEAR;ENGENHARIA DE SOFTWARE;24N45
PROBABILIDADE E ESTATISTICA A;ENGENHARIA DE SOFTWARE;24N23
PROBABILIDADE E ESTATISTICA A;SISTEMAS DE INFORMACAO;24N45
CALCULO 2B;ADMINISTRACAO;35N23
CALCULO 2B;INSTITUTO DE QUIMICA;35N45
CALCULO 1C;CIENCIAS CONTABEIS;35N23
CALCULO 1B;ADMINISTRACAO;35N45
CALCULO 3A;INSTITUTO DE FISICA;35N23
EDO;INSTITUTO DE FISICA;35N45
CALCULO 2B;CIENCIAS ECONOMICAS;46N23
PROBABILIDADE E ESTATISTICA B;CIENCIAS ECONOMICAS;46N45
ESTATISTICA DESCRITIVA E PROBABILIDADE;ADMINISTRACAO;46N23
ESTATISTICA INFERENCIAL;ADMINISTRACAO;46N45
NOCOES DE ATUARIA;CIENCIAS CONTABEIS;6N23
ESTATISTICA;MATEMATICA 35N34
MATEMATICA FINANCEIRA;SISTEMAS DE INFORMACAO;35N45
PROBABILIDADE;MATEMATICA 35N45

